title,text,rating,date,user,userLocation,text_len,text_clean,tokens,token_count,tokens_lemma,text_processed,sentimiento
Beautiful historic city!,"We have been travelling all around South America and we can confidently say that Quito has the most preserved historic downtown areas so far. People are lovely, food is great and quite diverse",5,2019-08-02,Nathalie Pozin,,192,we have been travelling all around south america and we can confidently say that quito has the most preserved historic downtown areas so far people are lovely food is great and quite diverse,"['travelling', 'around', 'south', 'america', 'confidently', 'say', 'preserved', 'historic', 'downtown', 'areas', 'far', 'people', 'lovely', 'food', 'great', 'quite', 'diverse']",17,"['travelling', 'around', 'south', 'america', 'confidently', 'say', 'preserved', 'historic', 'downtown', 'area', 'far', 'people', 'lovely', 'food', 'great', 'quite', 'diverse']",travelling around south america confidently say preserved historic downtown area far people lovely food great quite diverse,Positivo
Un holandes en Quito,"Quito is nice and the old city centre is clean, secure and very nice to visit. The only thing I don't understand is the opening hours for restaurants, many of them closed on regular hours. What is missing are some good places to drink some beers, everything closed and everybody to bed very early. But don't misunderstand me, Quito is nice and a good base to visit the Amazon and the Galapagos.",3,2019-07-31,Wilco S.,,394,quito is nice and the old city centre is clean secure and very nice to visit the only thing i don t understand is the opening hours for restaurants many of them closed on regular hours what is missing are some good places to drink some beers everything closed and everybody to bed very early but don t misunderstand me quito is nice and a good base to visit the amazon and the galapagos,"['nice', 'city', 'centre', 'clean', 'secure', 'nice', 'thing', 'understand', 'opening', 'hours', 'restaurants', 'many', 'closed', 'regular', 'hours', 'missing', 'good', 'places', 'drink', 'beers', 'everything', 'closed', 'everybody', 'bed', 'early', 'misunderstand', 'nice', 'good', 'base', 'amazon', 'galapagos']",31,"['nice', 'city', 'centre', 'clean', 'secure', 'nice', 'thing', 'understand', 'opening', 'hour', 'restaurant', 'many', 'closed', 'regular', 'hour', 'missing', 'good', 'place', 'drink', 'beer', 'everything', 'closed', 'everybody', 'bed', 'early', 'misunderstand', 'nice', 'good', 'base', 'amazon', 'galapagos']",nice city centre clean secure nice thing understand opening hour restaurant many closed regular hour missing good place drink beer everything closed everybody bed early misunderstand nice good base amazon galapagos,Neutro
Good town plaza,"This town square has a great park in the middle. We were lucky to see the welcoming of the president to his palace. The horses, bands and soldiers were a wonderful show.",4,2019-07-22,RusPat_704,,169,this town square has a great park in the middle we were lucky to see the welcoming of the president to his palace the horses bands and soldiers were a wonderful show,"['square', 'great', 'park', 'middle', 'lucky', 'welcoming', 'president', 'palace', 'horses', 'bands', 'soldiers', 'wonderful', 'show']",13,"['square', 'great', 'park', 'middle', 'lucky', 'welcoming', 'president', 'palace', 'horse', 'band', 'soldier', 'wonderful', 'show']",square great park middle lucky welcoming president palace horse band soldier wonderful show,Positivo
Fun fun!,"Our hotel was in Old Quito, which had such charm and little boutique cafes, pizzerias and bakeries. Felt like I lived there! Fun to explore!",5,2019-07-22,Angela P,,140,our hotel was in old quito which had such charm and little boutique cafes pizzerias and bakeries felt like i lived there fun to explore,"['hotel', 'charm', 'little', 'boutique', 'cafes', 'pizzerias', 'bakeries', 'felt', 'lived', 'fun', 'explore']",11,"['hotel', 'charm', 'little', 'boutique', 'cafe', 'pizzeria', 'bakery', 'felt', 'lived', 'fun', 'explore']",hotel charm little boutique cafe pizzeria bakery felt lived fun explore,Positivo
Busy town center,We spent a Sunday afternoon here on our own walking tour following a route recommended in the Lonely Planet guidebook. The seemed to be a rather lot of various types of police presence around and we have never seen so many ice cream street vendors anywhere else in our world travels. We saw some neat old architecture and enjoyed climbing the watch tower at the Basilica. Overall we felt a little bit nervous from having read several bad stories about pickpockets but other than seeing many very drunk street people we did fine and there are certainly a lot of families out and about. There were also very many street performers so there seemed to always be something to watch.,4,2019-07-22,Derek W,"Burnaby, Canada",677,we spent a sunday afternoon here on our own walking tour following a route recommended in the lonely planet guidebook the seemed to be a rather lot of various types of police presence around and we have never seen so many ice cream street vendors anywhere else in our world travels we saw some neat old architecture and enjoyed climbing the watch tower at the basilica overall we felt a little bit nervous from having read several bad stories about pickpockets but other than seeing many very drunk street people we did fine and there are certainly a lot of families out and about there were also very many street performers so there seemed to always be something to watch,"['spent', 'sunday', 'afternoon', 'walking', 'tour', 'following', 'route', 'recommended', 'lonely', 'planet', 'guidebook', 'seemed', 'rather', 'lot', 'various', 'types', 'police', 'presence', 'around', 'never', 'seen', 'many', 'ice', 'cream', 'street', 'vendors', 'anywhere', 'else', 'world', 'travels', 'saw', 'neat', 'architecture', 'enjoyed', 'climbing', 'watch', 'tower', 'basilica', 'overall', 'felt', 'little', 'bit', 'nervous', 'read', 'several', 'bad', 'stories', 'pickpockets', 'seeing', 'many', 'drunk', 'street', 'people', 'fine', 'certainly', 'lot', 'families', 'many', 'street', 'performers', 'seemed', 'always', 'something', 'watch']",64,"['spent', 'sunday', 'afternoon', 'walking', 'tour', 'following', 'route', 'recommended', 'lonely', 'planet', 'guidebook', 'seemed', 'rather', 'lot', 'various', 'type', 'police', 'presence', 'around', 'never', 'seen', 'many', 'ice', 'cream', 'street', 'vendor', 'anywhere', 'else', 'world', 'travel', 'saw', 'neat', 'architecture', 'enjoyed', 'climbing', 'watch', 'tower', 'basilica', 'overall', 'felt', 'little', 'bit', 'nervous', 'read', 'several', 'bad', 'story', 'pickpocket', 'seeing', 'many', 'drunk', 'street', 'people', 'fine', 'certainly', 'lot', 'family', 'many', 'street', 'performer', 'seemed', 'always', 'something', 'watch']",spent sunday afternoon walking tour following route recommended lonely planet guidebook seemed rather lot various type police presence around never seen many ice cream street vendor anywhere else world travel saw neat architecture enjoyed climbing watch tower basilica overall felt little bit nervous read several bad story pickpocket seeing many drunk street people fine certainly lot family many street performer seemed always something watch,Positivo
Safe town,I find it odd that people don’t think this area is safe. Don’t let 1 persons bad experience make you think it’s not. I liked this area since it’s pedestrian friendly and allows you to see a bunch of touristy things,5,2019-07-21,cjschreiner,"Chandler, Arizona",214,i find it odd that people don t think this area is safe don t let persons bad experience make you think it s not i liked this area since it s pedestrian friendly and allows you to see a bunch of touristy things,"['find', 'odd', 'people', 'think', 'area', 'safe', 'let', 'persons', 'bad', 'experience', 'think', 'liked', 'area', 'since', 'pedestrian', 'friendly', 'allows', 'bunch', 'touristy', 'things']",20,"['find', 'odd', 'people', 'think', 'area', 'safe', 'let', 'person', 'bad', 'experience', 'think', 'liked', 'area', 'since', 'pedestrian', 'friendly', 'allows', 'bunch', 'touristy', 'thing']",find odd people think area safe let person bad experience think liked area since pedestrian friendly allows bunch touristy thing,Positivo
Thieves are working hard,"Beautiful old town, beautiful church but please be aware that pick pocketing is happening. A child, probably 12 years old watched my friend zip her iPhone in her pocket. He waited until she was at the end of the pack and unzipped it and tried to get it. Luckily she caught him but we were surprised at how young he was. We also saw another person after theirs had been taken. Wear your backpack on the front.",2,2019-07-20,Amac_45,"Cali, Colombia",408,beautiful old town beautiful church but please be aware that pick pocketing is happening a child probably years old watched my friend zip her iphone in her pocket he waited until she was at the end of the pack and unzipped it and tried to get it luckily she caught him but we were surprised at how young he was we also saw another person after theirs had been taken wear your backpack on the front,"['beautiful', 'beautiful', 'church', 'please', 'aware', 'pick', 'pocketing', 'happening', 'child', 'probably', 'years', 'watched', 'friend', 'zip', 'iphone', 'pocket', 'waited', 'end', 'pack', 'unzipped', 'tried', 'luckily', 'caught', 'surprised', 'young', 'saw', 'another', 'person', 'taken', 'wear', 'backpack', 'front']",32,"['beautiful', 'beautiful', 'church', 'please', 'aware', 'pick', 'pocketing', 'happening', 'child', 'probably', 'year', 'watched', 'friend', 'zip', 'iphone', 'pocket', 'waited', 'end', 'pack', 'unzipped', 'tried', 'luckily', 'caught', 'surprised', 'young', 'saw', 'another', 'person', 'taken', 'wear', 'backpack', 'front']",beautiful beautiful church please aware pick pocketing happening child probably year watched friend zip iphone pocket waited end pack unzipped tried luckily caught surprised young saw another person taken wear backpack front,Negativo
Nice historical town,"We visited old town Quito with a guide which was very helpful. The town square, buildings and churches were very interesting. There are a number of people that would follow us to buy things but we told them ""no"" and they left us alone. It is best to explore old town with a guide to ensure safety and obtain their knowledge of the city.",4,2019-07-20,m g,"Miami, Florida",336,we visited old town quito with a guide which was very helpful the town square buildings and churches were very interesting there are a number of people that would follow us to buy things but we told them no and they left us alone it is best to explore old town with a guide to ensure safety and obtain their knowledge of the city,"['visited', 'guide', 'helpful', 'square', 'buildings', 'churches', 'interesting', 'number', 'people', 'follow', 'buy', 'things', 'told', 'left', 'alone', 'best', 'explore', 'guide', 'ensure', 'safety', 'obtain', 'knowledge', 'city']",23,"['visited', 'guide', 'helpful', 'square', 'building', 'church', 'interesting', 'number', 'people', 'follow', 'buy', 'thing', 'told', 'left', 'alone', 'best', 'explore', 'guide', 'ensure', 'safety', 'obtain', 'knowledge', 'city']",visited guide helpful square building church interesting number people follow buy thing told left alone best explore guide ensure safety obtain knowledge city,Positivo
Where you really must stay!,"A classic old town experience and the pedestrian only streets make it feel at times as if you are at a great street fair...yes..it does have its very touristy elements, however this IS Quito...and while the traffic in Quito is challenging at times, staying in Old Town insures you get the true feel of the city as it was...then take a taxi to the newer sections and be glad to return to the quaint charm of your hotel at night!",5,2019-07-19,5StarMama,"Cuenca, Ecuador",427,a classic old town experience and the pedestrian only streets make it feel at times as if you are at a great street fair yes it does have its very touristy elements however this is quito and while the traffic in quito is challenging at times staying in old town insures you get the true feel of the city as it was then take a taxi to the newer sections and be glad to return to the quaint charm of your hotel at night,"['classic', 'experience', 'pedestrian', 'streets', 'feel', 'times', 'great', 'street', 'fair', 'yes', 'touristy', 'elements', 'however', 'traffic', 'challenging', 'times', 'staying', 'insures', 'true', 'feel', 'city', 'take', 'taxi', 'newer', 'sections', 'glad', 'return', 'quaint', 'charm', 'hotel', 'night']",31,"['classic', 'experience', 'pedestrian', 'street', 'feel', 'time', 'great', 'street', 'fair', 'yes', 'touristy', 'element', 'however', 'traffic', 'challenging', 'time', 'staying', 'insures', 'true', 'feel', 'city', 'take', 'taxi', 'newer', 'section', 'glad', 'return', 'quaint', 'charm', 'hotel', 'night']",classic experience pedestrian street feel time great street fair yes touristy element however traffic challenging time staying insures true feel city take taxi newer section glad return quaint charm hotel night,Positivo
Great welcome to Quito,Best part of the city. 2 days there. Sundays are the best with lots of street entertainment! TeleferiQo is also a good place for the day but aim to go early as afternoons are often cloudy.,5,2019-07-19,Matt B,"Thun, Switzerland",188,best part of the city days there sundays are the best with lots of street entertainment teleferiqo is also a good place for the day but aim to go early as afternoons are often cloudy,"['best', 'part', 'city', 'days', 'sundays', 'best', 'lots', 'street', 'entertainment', 'teleferiqo', 'good', 'aim', 'early', 'afternoons', 'often', 'cloudy']",16,"['best', 'part', 'city', 'day', 'sunday', 'best', 'lot', 'street', 'entertainment', 'teleferiqo', 'good', 'aim', 'early', 'afternoon', 'often', 'cloudy']",best part city day sunday best lot street entertainment teleferiqo good aim early afternoon often cloudy,Positivo
Wantara Suites,"My wife and I traveled to Ecuador and stayed at three different places over a month.  Staying at Wantara in Old Town Quito was by far the best.  Best security and access, best view, best porch and gardens, best bed, best kitchen and best shower by far.  It is highly recommended",5,2019-07-18,Thomas O,,278,my wife and i traveled to ecuador and stayed at three different places over a month staying at wantara in old town quito was by far the best best security and access best view best porch and gardens best bed best kitchen and best shower by far it is highly recommended,"['wife', 'traveled', 'stayed', 'three', 'different', 'places', 'month', 'staying', 'wantara', 'far', 'best', 'best', 'security', 'access', 'best', 'view', 'best', 'porch', 'gardens', 'best', 'bed', 'best', 'kitchen', 'best', 'shower', 'far', 'highly', 'recommended']",28,"['wife', 'traveled', 'stayed', 'three', 'different', 'place', 'month', 'staying', 'wantara', 'far', 'best', 'best', 'security', 'access', 'best', 'view', 'best', 'porch', 'garden', 'best', 'bed', 'best', 'kitchen', 'best', 'shower', 'far', 'highly', 'recommended']",wife traveled stayed three different place month staying wantara far best best security access best view best porch garden best bed best kitchen best shower far highly recommended,Positivo
Nice Old Town,"Lovely old town to walk around in.  Plenty of police presence, just enough to make it feel safe without feeling like military occupation.  Some of the restaurants and shops very upscale, but many just small shops not well maintained.  Plenty of shopping and dining. We had a fabulous lunch at La Purisima.  Nice drink and view at the rooftop bar Vista Hermosa near Plaza Grande, but the other Vista Hermosa (Itchimbia) is supposed to be nice just outside Old Town (same owners).",5,2019-07-15,Maryland Traveler,"Tilghman, Maryland",478,lovely old town to walk around in plenty of police presence just enough to make it feel safe without feeling like military occupation some of the restaurants and shops very upscale but many just small shops not well maintained plenty of shopping and dining we had a fabulous lunch at la purisima nice drink and view at the rooftop bar vista hermosa near plaza grande but the other vista hermosa itchimbia is supposed to be nice just outside old town same owners,"['lovely', 'walk', 'around', 'plenty', 'police', 'presence', 'enough', 'feel', 'safe', 'without', 'feeling', 'military', 'occupation', 'restaurants', 'shops', 'upscale', 'many', 'small', 'shops', 'maintained', 'plenty', 'shopping', 'dining', 'fabulous', 'lunch', 'purisima', 'nice', 'drink', 'view', 'rooftop', 'bar', 'vista', 'hermosa', 'near', 'plaza', 'grande', 'vista', 'hermosa', 'itchimbia', 'supposed', 'nice', 'outside', 'owners']",43,"['lovely', 'walk', 'around', 'plenty', 'police', 'presence', 'enough', 'feel', 'safe', 'without', 'feeling', 'military', 'occupation', 'restaurant', 'shop', 'upscale', 'many', 'small', 'shop', 'maintained', 'plenty', 'shopping', 'dining', 'fabulous', 'lunch', 'purisima', 'nice', 'drink', 'view', 'rooftop', 'bar', 'vista', 'hermosa', 'near', 'plaza', 'grande', 'vista', 'hermosa', 'itchimbia', 'supposed', 'nice', 'outside', 'owner']",lovely walk around plenty police presence enough feel safe without feeling military occupation restaurant shop upscale many small shop maintained plenty shopping dining fabulous lunch purisima nice drink view rooftop bar vista hermosa near plaza grande vista hermosa itchimbia supposed nice outside owner,Positivo
Amazing architecture,"Quito was picturesque nestled by Andes on all sides.  The people there were overwhelmingly friendly and helpful.  We got up early to see the city before the day got started and I would highly recommend it.  A certain level of caution must be taken with cameras and purses, but it was a great part of the city.",4,2019-07-15,Jeff_Morris1300,"Birmingham, Alabama",309,quito was picturesque nestled by andes on all sides the people there were overwhelmingly friendly and helpful we got up early to see the city before the day got started and i would highly recommend it a certain level of caution must be taken with cameras and purses but it was a great part of the city,"['picturesque', 'nestled', 'andes', 'sides', 'people', 'overwhelmingly', 'friendly', 'helpful', 'early', 'city', 'started', 'highly', 'recommend', 'certain', 'level', 'caution', 'must', 'taken', 'cameras', 'purses', 'great', 'part', 'city']",23,"['picturesque', 'nestled', 'andes', 'side', 'people', 'overwhelmingly', 'friendly', 'helpful', 'early', 'city', 'started', 'highly', 'recommend', 'certain', 'level', 'caution', 'must', 'taken', 'camera', 'purse', 'great', 'part', 'city']",picturesque nestled andes side people overwhelmingly friendly helpful early city started highly recommend certain level caution must taken camera purse great part city,Positivo
Spent a day before Galapagos,A day is more than enough time here. There are some nice churches and the gondola up the mountain was fun. A few good shops.,3,2019-07-14,Traveln Texan,"Coppell, Texas",124,a day is more than enough time here there are some nice churches and the gondola up the mountain was fun a few good shops,"['enough', 'nice', 'churches', 'gondola', 'mountain', 'fun', 'good', 'shops']",8,"['enough', 'nice', 'church', 'gondola', 'mountain', 'fun', 'good', 'shop']",enough nice church gondola mountain fun good shop,Neutro
Quito Colonial.... the city dreamed for Spain,"It is an historial, traditional, architectonic. treasure. Beautiful buildings, interesting museum and the people.... the people is the best!",5,2019-07-10,Nelson S,"Chelsea, Alabama",140,it is an historial traditional architectonic treasure beautiful buildings interesting museum and the people the people is the best,"['historial', 'traditional', 'architectonic', 'treasure', 'beautiful', 'buildings', 'interesting', 'museum', 'people', 'people', 'best']",11,"['historial', 'traditional', 'architectonic', 'treasure', 'beautiful', 'building', 'interesting', 'museum', 'people', 'people', 'best']",historial traditional architectonic treasure beautiful building interesting museum people people best,Positivo
Magical place!,"Quito's Old Town is a UNESCO World Heritage site.   When you walk the streets you are walking colonial Ecuador.   The churches, the houses, the shops, the food, everything takes you back to the time in history.",5,2019-07-09,Grecia R,"Miami, Florida",210,quito s old town is a unesco world heritage site when you walk the streets you are walking colonial ecuador the churches the houses the shops the food everything takes you back to the time in history,"['unesco', 'world', 'heritage', 'site', 'walk', 'streets', 'walking', 'colonial', 'churches', 'houses', 'shops', 'food', 'everything', 'takes', 'history']",15,"['unesco', 'world', 'heritage', 'site', 'walk', 'street', 'walking', 'colonial', 'church', 'house', 'shop', 'food', 'everything', 'take', 'history']",unesco world heritage site walk street walking colonial church house shop food everything take history,Positivo
Great evening stroll !,The romance of walking streets in Quito'sold town is magnificent....close your eyes and you can easily imagine what was happening here hundreds of years ago.Open your eyes and see the amazing architecture of the old city and residences built into the side of the hill. breathtaking for sure.,5,2019-07-06,Rickardo,"Sedona, Arizona",291,the romance of walking streets in quito sold town is magnificent close your eyes and you can easily imagine what was happening here hundreds of years ago open your eyes and see the amazing architecture of the old city and residences built into the side of the hill breathtaking for sure,"['romance', 'walking', 'streets', 'sold', 'magnificent', 'close', 'eyes', 'easily', 'imagine', 'happening', 'hundreds', 'years', 'ago', 'open', 'eyes', 'amazing', 'architecture', 'city', 'residences', 'built', 'side', 'hill', 'breathtaking', 'sure']",24,"['romance', 'walking', 'street', 'sold', 'magnificent', 'close', 'eye', 'easily', 'imagine', 'happening', 'hundred', 'year', 'ago', 'open', 'eye', 'amazing', 'architecture', 'city', 'residence', 'built', 'side', 'hill', 'breathtaking', 'sure']",romance walking street sold magnificent close eye easily imagine happening hundred year ago open eye amazing architecture city residence built side hill breathtaking sure,Positivo
A world heritage area,"It is filled with beautiful churches in baroque, gothic and neoclassical styles. There are also, convents, palaces, and several pretty public squares.",4,2019-07-05,Alan D,"Aurora, Colorado",150,it is filled with beautiful churches in baroque gothic and neoclassical styles there are also convents palaces and several pretty public squares,"['filled', 'beautiful', 'churches', 'baroque', 'gothic', 'neoclassical', 'styles', 'convents', 'palaces', 'several', 'pretty', 'public', 'squares']",13,"['filled', 'beautiful', 'church', 'baroque', 'gothic', 'neoclassical', 'style', 'convent', 'palace', 'several', 'pretty', 'public', 'square']",filled beautiful church baroque gothic neoclassical style convent palace several pretty public square,Positivo
A Great Place to Explore!,"We were a large group of mixed ages (25 in total) and we really enjoyed exploring Quito Old Town. Everyone was incredibly friendly and even though most of us did not speak Spanish, it was easy to get around.",5,2019-07-04,KHill7707,,207,we were a large group of mixed ages in total and we really enjoyed exploring quito old town everyone was incredibly friendly and even though most of us did not speak spanish it was easy to get around,"['large', 'group', 'mixed', 'ages', 'total', 'enjoyed', 'exploring', 'everyone', 'incredibly', 'friendly', 'though', 'speak', 'spanish', 'easy', 'around']",15,"['large', 'group', 'mixed', 'age', 'total', 'enjoyed', 'exploring', 'everyone', 'incredibly', 'friendly', 'though', 'speak', 'spanish', 'easy', 'around']",large group mixed age total enjoyed exploring everyone incredibly friendly though speak spanish easy around,Positivo
Old City Charm - Worth Seeing,"We had a conducted tour of the old Town, partly by bus and partly walking. There's plenty to see and lots of history to discover. Why not visit a chocolate factory and try the samples?",5,2019-07-03,Terry H,,184,we had a conducted tour of the old town partly by bus and partly walking there s plenty to see and lots of history to discover why not visit a chocolate factory and try the samples,"['conducted', 'tour', 'partly', 'bus', 'partly', 'walking', 'plenty', 'lots', 'history', 'discover', 'chocolate', 'factory', 'try', 'samples']",14,"['conducted', 'tour', 'partly', 'bus', 'partly', 'walking', 'plenty', 'lot', 'history', 'discover', 'chocolate', 'factory', 'try', 'sample']",conducted tour partly bus partly walking plenty lot history discover chocolate factory try sample,Positivo
Old town,"What is considered old town is a nice but small area. It is ok but nothing different to other city capitals in Latin America. Some few churches, one not old at all, compress this zone. It looks clean and colorful",4,2019-07-01,Bees63,"Miami, Florida",212,what is considered old town is a nice but small area it is ok but nothing different to other city capitals in latin america some few churches one not old at all compress this zone it looks clean and colorful,"['considered', 'nice', 'small', 'area', 'nothing', 'different', 'city', 'capitals', 'latin', 'america', 'churches', 'compress', 'zone', 'looks', 'clean', 'colorful']",16,"['considered', 'nice', 'small', 'area', 'nothing', 'different', 'city', 'capital', 'latin', 'america', 'church', 'compress', 'zone', 'look', 'clean', 'colorful']",considered nice small area nothing different city capital latin america church compress zone look clean colorful,Positivo
My favorite part of living here,"Although I lived farther north, old town was my favorite part of the city. I would often hop on the bus and head down there just to walk around for a few hours and people watch. My favorite areas were around La Plaza Grande and La Iglesia San Francisco.",5,2019-06-30,Lawren M,,253,although i lived farther north old town was my favorite part of the city i would often hop on the bus and head down there just to walk around for a few hours and people watch my favorite areas were around la plaza grande and la iglesia san francisco,"['although', 'lived', 'farther', 'north', 'favorite', 'part', 'city', 'often', 'hop', 'bus', 'head', 'walk', 'around', 'hours', 'people', 'watch', 'favorite', 'areas', 'around', 'plaza', 'grande', 'iglesia', 'san', 'francisco']",24,"['although', 'lived', 'farther', 'north', 'favorite', 'part', 'city', 'often', 'hop', 'bus', 'head', 'walk', 'around', 'hour', 'people', 'watch', 'favorite', 'area', 'around', 'plaza', 'grande', 'iglesia', 'san', 'francisco']",although lived farther north favorite part city often hop bus head walk around hour people watch favorite area around plaza grande iglesia san francisco,Positivo
Beautiful city,This unesco world site is worth a visit inspire of the steep hills and high altitude.  It's worthwhile to walk up and down all of the streets to see all of the amazing building.,5,2019-06-30,Andrea90401,,177,this unesco world site is worth a visit inspire of the steep hills and high altitude it s worthwhile to walk up and down all of the streets to see all of the amazing building,"['unesco', 'world', 'site', 'worth', 'inspire', 'steep', 'hills', 'high', 'altitude', 'worthwhile', 'walk', 'streets', 'amazing', 'building']",14,"['unesco', 'world', 'site', 'worth', 'inspire', 'steep', 'hill', 'high', 'altitude', 'worthwhile', 'walk', 'street', 'amazing', 'building']",unesco world site worth inspire steep hill high altitude worthwhile walk street amazing building,Positivo
Colonial old town at its best,"I've been to my fair share of colonial cities and I think Quito is absolutely beautiful and well preserved. You will walk through many colonial style churches, streets, buildings, and parks that you are almost transported to this time. You have to visit the Plaza Grande main square, Iglesia de San Francisco, Basílica del Voto Nacional, Iglesia de la Compañía de Jesus, among others.",5,2019-06-24,Katrachadelmundo,"Leimen, Germany",384,i ve been to my fair share of colonial cities and i think quito is absolutely beautiful and well preserved you will walk through many colonial style churches streets buildings and parks that you are almost transported to this time you have to visit the plaza grande main square iglesia de san francisco basílica del voto nacional iglesia de la compañía de jesus among others,"['fair', 'share', 'colonial', 'cities', 'think', 'absolutely', 'beautiful', 'preserved', 'walk', 'many', 'colonial', 'style', 'churches', 'streets', 'buildings', 'parks', 'almost', 'transported', 'plaza', 'grande', 'main', 'square', 'iglesia', 'san', 'francisco', 'basílica', 'voto', 'nacional', 'iglesia', 'compañía', 'jesus', 'among', 'others']",33,"['fair', 'share', 'colonial', 'city', 'think', 'absolutely', 'beautiful', 'preserved', 'walk', 'many', 'colonial', 'style', 'church', 'street', 'building', 'park', 'almost', 'transported', 'plaza', 'grande', 'main', 'square', 'iglesia', 'san', 'francisco', 'basílica', 'voto', 'nacional', 'iglesia', 'compañía', 'jesus', 'among', 'others']",fair share colonial city think absolutely beautiful preserved walk many colonial style church street building park almost transported plaza grande main square iglesia san francisco basílica voto nacional iglesia compañía jesus among others,Positivo
Small but nice,"It is very small and not too giant churches to see.  But is a early part of South America history.   The city is in the middle of green mountains, beautiful!",5,2019-06-20,whliu2001,,157,it is very small and not too giant churches to see but is a early part of south america history the city is in the middle of green mountains beautiful,"['small', 'giant', 'churches', 'early', 'part', 'south', 'america', 'history', 'city', 'middle', 'green', 'mountains', 'beautiful']",13,"['small', 'giant', 'church', 'early', 'part', 'south', 'america', 'history', 'city', 'middle', 'green', 'mountain', 'beautiful']",small giant church early part south america history city middle green mountain beautiful,Positivo
Enhance your travels with the rich history of Quito,We were more than pleasantly surprised by the beautifully preserved architecture and culture of Quito Old Town. So much history and so much beauty. I felt like I was in Europe at times but you get both the Inca history and the Spanish Colonial. Anyone would truly enhance their travel experience by allowing a few days to appreciate the rich history of this place.,5,2019-06-14,ClaudiaL,Australia,364,we were more than pleasantly surprised by the beautifully preserved architecture and culture of quito old town so much history and so much beauty i felt like i was in europe at times but you get both the inca history and the spanish colonial anyone would truly enhance their travel experience by allowing a few days to appreciate the rich history of this place,"['pleasantly', 'surprised', 'beautifully', 'preserved', 'architecture', 'culture', 'history', 'beauty', 'felt', 'europe', 'times', 'inca', 'history', 'spanish', 'colonial', 'anyone', 'truly', 'enhance', 'travel', 'experience', 'allowing', 'days', 'appreciate', 'rich', 'history']",25,"['pleasantly', 'surprised', 'beautifully', 'preserved', 'architecture', 'culture', 'history', 'beauty', 'felt', 'europe', 'time', 'inca', 'history', 'spanish', 'colonial', 'anyone', 'truly', 'enhance', 'travel', 'experience', 'allowing', 'day', 'appreciate', 'rich', 'history']",pleasantly surprised beautifully preserved architecture culture history beauty felt europe time inca history spanish colonial anyone truly enhance travel experience allowing day appreciate rich history,Positivo
So much to see,"Wandering the old town is best appreciated with a guide. They are able to give you a sense of the history and the relationship of the buildings and squares. It is fairly hilly, so good walking shoes are a must. Much of the area is blocked off from traffic and there are many people on the streets. Vendors are plentiful, but they are polite and don’t harass you. Several types of police patrol constantly, making the area feel safe. There are many small shops interspersed among the churches and squares, and it appears that man locals come into the Old Town to shop.",5,2019-06-14,Crcb,"Williamsburg, Virginia",567,wandering the old town is best appreciated with a guide they are able to give you a sense of the history and the relationship of the buildings and squares it is fairly hilly so good walking shoes are a must much of the area is blocked off from traffic and there are many people on the streets vendors are plentiful but they are polite and don t harass you several types of police patrol constantly making the area feel safe there are many small shops interspersed among the churches and squares and it appears that man locals come into the old town to shop,"['wandering', 'best', 'appreciated', 'guide', 'able', 'give', 'sense', 'history', 'relationship', 'buildings', 'squares', 'fairly', 'hilly', 'good', 'walking', 'shoes', 'must', 'area', 'blocked', 'traffic', 'many', 'people', 'streets', 'vendors', 'plentiful', 'polite', 'harass', 'several', 'types', 'police', 'patrol', 'constantly', 'making', 'area', 'feel', 'safe', 'many', 'small', 'shops', 'interspersed', 'among', 'churches', 'squares', 'appears', 'man', 'locals', 'come', 'shop']",48,"['wandering', 'best', 'appreciated', 'guide', 'able', 'give', 'sense', 'history', 'relationship', 'building', 'square', 'fairly', 'hilly', 'good', 'walking', 'shoe', 'must', 'area', 'blocked', 'traffic', 'many', 'people', 'street', 'vendor', 'plentiful', 'polite', 'harass', 'several', 'type', 'police', 'patrol', 'constantly', 'making', 'area', 'feel', 'safe', 'many', 'small', 'shop', 'interspersed', 'among', 'church', 'square', 'appears', 'man', 'local', 'come', 'shop']",wandering best appreciated guide able give sense history relationship building square fairly hilly good walking shoe must area blocked traffic many people street vendor plentiful polite harass several type police patrol constantly making area feel safe many small shop interspersed among church square appears man local come shop,Positivo
